Train;Time;Event type;Resource;Gate;Complement;
Train2;d1 5:33:0;ExitResource;TrackGroup1;B9;;
Train2;d1 5:33:0;EnterResource;TrackGroup3;A1;;
Train2;d1 5:33:0;ExitResource;TrackGroup3;B5;;
Train2;d1 5:33:0;EnterResource;TrackGroup8;A1;;
Train2;d1 5:33:0;ExitResource;TrackGroup8;B3;;
Train2;d1 5:33:0;EnterResource;TrackGroup10;A1;;
Train2;d1 5:33:0;ExitResource;TrackGroup10;B1;;
Train2;d1 5:33:0;ExitSystem;TrackGroup10;;;
Train3;d1 6:7:0;EnterSystem;TrackGroup10;;;
Train3;d1 6:7:0;EnterResource;TrackGroup10;B1;;
Train3;d1 6:7:0;ExitResource;TrackGroup10;A3;;
Train3;d1 6:7:0;EnterResource;TrackGroup8;B1;;
Train3;d1 6:7:0;ExitResource;TrackGroup8;A1;;
Train3;d1 6:7:0;EnterResource;TrackGroup3;B1;;
Train3;d1 6:7:0;ExitResource;TrackGroup3;A1;;
Train3;d1 6:7:0;EnterResource;TrackGroup1;A7;;
Train3;d1 6:7:0;ExitResource;TrackGroup1;A7;;
Train3;d1 6:7:0;EnterResource;Platform7;B1;;
Train3;d1 6:7:0;Arrival;Platform7;;Arrival3;
Train3;d1 6:7:0;ExitResource;Platform7;B1;;
Train3;d1 5:36:0;EnterResource;Platform7;B1;;
Train3;d1 5:36:0;Departure;Platform7;;Dep3;
Train3;d1 5:36:0;ExitResource;Platform7;B1;;
Train3;d1 5:36:0;EnterResource;TrackGroup1;A7;;
Train3;d1 5:36:0;ExitResource;TrackGroup1;B9;;
Train3;d1 5:36:0;EnterResource;TrackGroup3;A1;;
Train3;d1 5:36:0;ExitResource;TrackGroup3;B1;;
Train3;d1 5:36:0;EnterResource;TrackGroup6;A1;;
Train3;d1 5:36:0;ExitResource;TrackGroup6;B1;;
Train3;d1 5:36:0;EnterResource;TrackGroup7;A3;;
Train3;d1 5:36:0;ExitResource;TrackGroup7;B7;;
Train3;d1 5:36:0;ExitSystem;TrackGroup7;;;
Train4;d1 6:22:0;EnterSystem;TrackGroup7;;;
Train4;d1 6:22:0;EnterResource;TrackGroup7;B1;;
Train4;d1 6:22:0;ExitResource;TrackGroup7;A3;;
Train4;d1 6:22:0;EnterResource;TrackGroup6;B1;;
Train4;d1 6:22:0;ExitResource;TrackGroup6;A1;;
Train4;d1 6:22:0;EnterResource;TrackGroup3;B1;;
Train4;d1 6:22:0;ExitResource;TrackGroup3;A1;;
Train4;d1 6:22:0;EnterResource;TrackGroup1;B9;;
Train4;d1 6:22:0;ExitResource;TrackGroup1;A7;;
Train4;d1 6:22:0;EnterResource;Platform7;B1;;
Train4;d1 6:22:0;Arrival;Platform7;;Arrival4;
Train4;d1 6:22:0;ExitResource;Platform7;B1;;
Train4;d1 5:56:0;EnterResource;Platform7;B1;;
Train4;d1 5:56:0;Departure;Platform7;;Dep4;
Train4;d1 5:56:0;ExitResource;Platform7;B1;;
Train4;d1 5:56:0;EnterResource;TrackGroup1;A7;;
Train4;d1 5:56:0;ExitResource;TrackGroup1;B9;;
Train4;d1 5:56:0;EnterResource;TrackGroup3;A1;;
Train4;d1 5:56:0;ExitResource;TrackGroup3;B1;;
Train4;d1 5:56:0;EnterResource;TrackGroup6;A1;;
Train4;d1 5:56:0;ExitResource;TrackGroup6;B1;;
Train4;d1 5:56:0;EnterResource;TrackGroup7;A3;;
Train4;d1 5:56:0;ExitResource;TrackGroup7;B7;;
Train4;d1 5:56:0;ExitSystem;TrackGroup7;;;
Train5;d1 6:25:0;EnterSystem;TrackGroup10;;;
Train5;d1 6:25:0;EnterResource;TrackGroup10;B1;;
Train5;d1 6:25:0;ExitResource;TrackGroup10;A3;;
Train5;d1 6:25:0;EnterResource;TrackGroup8;B1;;
Train5;d1 6:25:0;ExitResource;TrackGroup8;A1;;
Train5;d1 6:25:0;EnterResource;TrackGroup3;B1;;
Train5;d1 6:25:0;ExitResource;TrackGroup3;A1;;
Train5;d1 6:25:0;EnterResource;TrackGroup1;A7;;
Train5;d1 6:25:0;ExitResource;TrackGroup1;A7;;
Train5;d1 6:25:0;EnterResource;Platform7;B1;;
Train5;d1 6:25:0;Arrival;Platform7;;Arrival5;
Train5;d1 6:25:0;ExitResource;Platform7;B1;;
Train5;d1 6:0:0;EnterResource;Platform7;B1;;
Train5;d1 6:0:0;Departure;Platform7;;Dep5;
Train5;d1 6:0:0;ExitResource;Platform7;B1;;
Train5;d1 6:0:0;EnterResource;TrackGroup1;A7;;
Train5;d1 6:0:0;ExitResource;TrackGroup1;B9;;
Train5;d1 6:0:0;EnterResource;TrackGroup3;A1;;
Train5;d1 6:0:0;ExitResource;TrackGroup3;B1;;
Train5;d1 6:0:0;EnterResource;TrackGroup6;A1;;
Train5;d1 6:0:0;ExitResource;TrackGroup6;B1;;
Train5;d1 6:0:0;EnterResource;TrackGroup7;A3;;
Train5;d1 6:0:0;ExitResource;TrackGroup7;B7;;
Train5;d1 6:0:0;ExitSystem;TrackGroup7;;;
Train6;d1 6:28:0;EnterSystem;TrackGroup7;;;
Train6;d1 6:28:0;EnterResource;TrackGroup7;B1;;
Train6;d1 6:28:0;ExitResource;TrackGroup7;A3;;
Train6;d1 6:28:0;EnterResource;TrackGroup6;B1;;
Train6;d1 6:28:0;ExitResource;TrackGroup6;A1;;
Train6;d1 6:28:0;EnterResource;TrackGroup3;B1;;
Train6;d1 6:28:0;ExitResource;TrackGroup3;A1;;
Train6;d1 6:28:0;EnterResource;TrackGroup1;B9;;
Train6;d1 6:28:0;ExitResource;TrackGroup1;A7;;
Train6;d1 6:28:0;EnterResource;Platform7;B1;;
Train6;d1 6:28:0;Arrival;Platform7;;Arrival6;
Train6;d1 6:28:0;ExitResource;Platform7;B1;;
Train6;d1 6:5:0;EnterResource;Platform7;B1;;
Train6;d1 6:5:0;Departure;Platform7;;Dep6;
Train6;d1 6:5:0;ExitResource;Platform7;B1;;
Train6;d1 6:5:0;EnterResource;TrackGroup1;A1;;
Train6;d1 6:5:0;ExitResource;TrackGroup1;B9;;
Train6;d1 6:5:0;EnterResource;TrackGroup3;A1;;
Train6;d1 6:5:0;ExitResource;TrackGroup3;B5;;
Train6;d1 6:5:0;EnterResource;TrackGroup8;A1;;
Train6;d1 6:5:0;ExitResource;TrackGroup8;B3;;
Train6;d1 6:5:0;EnterResource;TrackGroup10;A1;;
Train6;d1 6:5:0;ExitResource;TrackGroup10;B1;;
Train6;d1 6:5:0;ExitSystem;TrackGroup10;;;
Train7;d1 6:50:0;EnterSystem;TrackGroup10;;;
Train7;d1 6:50:0;EnterResource;TrackGroup10;B1;;
Train7;d1 6:50:0;ExitResource;TrackGroup10;A3;;
Train7;d1 6:50:0;EnterResource;TrackGroup8;B1;;
Train7;d1 6:50:0;ExitResource;TrackGroup8;A1;;
Train7;d1 6:50:0;EnterResource;TrackGroup3;B1;;
Train7;d1 6:50:0;ExitResource;TrackGroup3;A1;;
Train7;d1 6:50:0;EnterResource;TrackGroup1;A7;;
Train7;d1 6:50:0;ExitResource;TrackGroup1;A7;;
Train7;d1 6:50:0;EnterResource;Platform7;B1;;
Train7;d1 6:50:0;Arrival;Platform7;;Arrival7;
Train7;d1 6:50:0;ExitResource;Platform7;B1;;
Train7;d1 6:5:0;EnterResource;Platform7;B1;;
Train7;d1 6:5:0;Departure;Platform7;;Dep7;
Train7;d1 6:5:0;ExitResource;Platform7;B1;;
Train7;d1 6:5:0;EnterResource;TrackGroup1;A1;;
Train7;d1 6:5:0;ExitResource;TrackGroup1;B9;;
Train7;d1 6:5:0;EnterResource;TrackGroup3;A1;;
Train7;d1 6:5:0;ExitResource;TrackGroup3;B5;;
Train7;d1 6:5:0;EnterResource;TrackGroup8;A1;;
Train7;d1 6:5:0;ExitResource;TrackGroup8;B3;;
Train7;d1 6:5:0;EnterResource;TrackGroup10;A1;;
Train7;d1 6:5:0;ExitResource;TrackGroup10;B1;;
Train7;d1 6:5:0;ExitSystem;TrackGroup10;;;
Train8;d1 6:54:0;EnterSystem;TrackGroup7;;;
Train8;d1 6:54:0;EnterResource;TrackGroup7;B1;;
Train8;d1 6:54:0;ExitResource;TrackGroup7;A3;;
Train8;d1 6:54:0;EnterResource;TrackGroup6;B1;;
Train8;d1 6:54:0;ExitResource;TrackGroup6;A1;;
Train8;d1 6:54:0;EnterResource;TrackGroup3;B1;;
Train8;d1 6:54:0;ExitResource;TrackGroup3;A1;;
Train8;d1 6:54:0;EnterResource;TrackGroup1;B9;;
Train8;d1 6:54:0;ExitResource;TrackGroup1;A7;;
Train8;d1 6:54:0;EnterResource;Platform7;B1;;
Train8;d1 6:54:0;Arrival;Platform7;;Arrival8;
Train8;d1 6:54:0;ExitResource;Platform7;B1;;
Train8;d1 6:5:0;EnterResource;Platform7;B1;;
Train8;d1 6:5:0;Departure;Platform7;;Dep8;
Train8;d1 6:5:0;ExitResource;Platform7;B1;;
Train8;d1 6:5:0;EnterResource;TrackGroup1;A7;;
Train8;d1 6:5:0;ExitResource;TrackGroup1;B9;;
Train8;d1 6:5:0;EnterResource;TrackGroup3;A1;;
Train8;d1 6:5:0;ExitResource;TrackGroup3;B1;;
Train8;d1 6:5:0;EnterResource;TrackGroup6;A1;;
Train8;d1 6:5:0;ExitResource;TrackGroup6;B1;;
Train8;d1 6:5:0;EnterResource;TrackGroup7;A3;;
Train8;d1 6:5:0;ExitResource;TrackGroup7;B7;;
Train8;d1 6:5:0;ExitSystem;TrackGroup7;;;
Train9;d1 7:2:0;EnterSystem;TrackGroup7;;;
Train9;d1 7:2:0;EnterResource;TrackGroup7;B1;;
Train9;d1 7:2:0;ExitResource;TrackGroup7;A3;;
Train9;d1 7:2:0;EnterResource;TrackGroup6;B1;;
Train9;d1 7:2:0;ExitResource;TrackGroup6;A1;;
Train9;d1 7:2:0;EnterResource;TrackGroup3;B1;;
Train9;d1 7:2:0;ExitResource;TrackGroup3;A1;;
Train9;d1 7:2:0;EnterResource;TrackGroup1;B9;;
Train9;d1 7:2:0;ExitResource;TrackGroup1;A7;;
Train9;d1 7:2:0;EnterResource;Platform7;B1;;
Train9;d1 7:2:0;Arrival;Platform7;;Arrival9;
Train9;d1 7:2:0;ExitResource;Platform7;B1;;
Train9;d1 6:10:0;EnterResource;Platform7;B1;;
Train9;d1 6:10:0;Departure;Platform7;;Dep9;
Train9;d1 6:10:0;ExitResource;Platform7;B1;;
Train9;d1 6:10:0;EnterResource;TrackGroup1;A7;;
Train9;d1 6:10:0;ExitResource;TrackGroup1;B9;;
Train9;d1 6:10:0;EnterResource;TrackGroup3;A1;;
Train9;d1 6:10:0;ExitResource;TrackGroup3;B1;;
Train9;d1 6:10:0;EnterResource;TrackGroup6;A1;;
Train9;d1 6:10:0;ExitResource;TrackGroup6;B1;;
Train9;d1 6:10:0;EnterResource;TrackGroup7;A3;;
Train9;d1 6:10:0;ExitResource;TrackGroup7;B7;;
Train9;d1 6:10:0;ExitSystem;TrackGroup7;;;
Train10;d1 7:6:0;EnterSystem;TrackGroup10;;;
Train10;d1 7:6:0;EnterResource;TrackGroup10;B1;;
Train10;d1 7:6:0;ExitResource;TrackGroup10;A3;;
Train10;d1 7:6:0;EnterResource;TrackGroup8;B1;;
Train10;d1 7:6:0;ExitResource;TrackGroup8;A1;;
Train10;d1 7:6:0;EnterResource;TrackGroup3;B1;;
Train10;d1 7:6:0;ExitResource;TrackGroup3;A1;;
Train10;d1 7:6:0;EnterResource;TrackGroup1;A7;;
Train10;d1 7:6:0;ExitResource;TrackGroup1;A7;;
Train10;d1 7:6:0;EnterResource;Platform7;B1;;
Train10;d1 7:6:0;Arrival;Platform7;;Arrival10;
Train10;d1 7:6:0;ExitResource;Platform7;B1;;
Train10;d1 6:10:0;EnterResource;Platform7;B1;;
Train10;d1 6:10:0;Departure;Platform7;;Dep10;
Train10;d1 6:10:0;ExitResource;Platform7;B1;;
Train10;d1 6:10:0;EnterResource;TrackGroup1;A7;;
Train10;d1 6:10:0;ExitResource;TrackGroup1;B9;;
Train10;d1 6:10:0;EnterResource;TrackGroup3;A1;;
Train10;d1 6:10:0;ExitResource;TrackGroup3;B1;;
Train10;d1 6:10:0;EnterResource;TrackGroup6;A1;;
Train10;d1 6:10:0;ExitResource;TrackGroup6;B1;;
Train10;d1 6:10:0;EnterResource;TrackGroup7;A3;;
Train10;d1 6:10:0;ExitResource;TrackGroup7;B7;;
Train10;d1 6:10:0;ExitSystem;TrackGroup7;;;
Train11;d1 7:17:0;EnterSystem;TrackGroup7;;;
Train11;d1 7:17:0;EnterResource;TrackGroup7;B1;;
Train11;d1 7:17:0;ExitResource;TrackGroup7;A3;;
Train11;d1 7:17:0;EnterResource;TrackGroup6;B1;;
Train11;d1 7:17:0;ExitResource;TrackGroup6;A1;;
Train11;d1 7:17:0;EnterResource;TrackGroup3;B1;;
Train11;d1 7:17:0;ExitResource;TrackGroup3;A1;;
Train11;d1 7:17:0;EnterResource;TrackGroup1;B9;;
Train11;d1 7:17:0;ExitResource;TrackGroup1;A7;;
Train11;d1 7:17:0;EnterResource;Platform7;B1;;
Train11;d1 7:17:0;Arrival;Platform7;;Arrival11;
Train11;d1 7:17:0;ExitResource;Platform7;B1;;
Train11;d1 6:14:0;EnterResource;Platform7;B1;;
Train11;d1 6:14:0;Departure;Platform7;;Dep11;
Train11;d1 6:14:0;ExitResource;Platform7;B1;;
Train11;d1 6:14:0;EnterResource;TrackGroup1;A7;;
Train11;d1 6:14:0;ExitResource;TrackGroup1;B9;;
Train11;d1 6:14:0;EnterResource;TrackGroup3;A1;;
Train11;d1 6:14:0;ExitResource;TrackGroup3;B1;;
Train11;d1 6:14:0;EnterResource;TrackGroup6;A1;;
Train11;d1 6:14:0;ExitResource;TrackGroup6;B1;;
Train11;d1 6:14:0;EnterResource;TrackGroup7;A3;;
Train11;d1 6:14:0;ExitResource;TrackGroup7;B7;;
Train11;d1 6:14:0;ExitSystem;TrackGroup7;;;
Train12;d1 7:23:0;EnterSystem;TrackGroup7;;;
Train12;d1 7:23:0;EnterResource;TrackGroup7;B1;;
Train12;d1 7:23:0;ExitResource;TrackGroup7;A3;;
Train12;d1 7:23:0;EnterResource;TrackGroup6;B1;;
Train12;d1 7:23:0;ExitResource;TrackGroup6;A1;;
Train12;d1 7:23:0;EnterResource;TrackGroup3;B1;;
Train12;d1 7:23:0;ExitResource;TrackGroup3;A1;;
Train12;d1 7:23:0;EnterResource;TrackGroup1;B9;;
Train12;d1 7:23:0;ExitResource;TrackGroup1;A7;;
Train12;d1 7:23:0;EnterResource;Platform7;B1;;
Train12;d1 7:23:0;Arrival;Platform7;;Arrival12;
Train12;d1 7:23:0;ExitResource;Platform7;B1;;
Train12;d1 6:24:0;EnterResource;Platform7;B1;;
Train12;d1 6:24:0;Departure;Platform7;;Dep12;
Train12;d1 6:24:0;ExitResource;Platform7;B1;;
Train12;d1 6:24:0;EnterResource;TrackGroup1;A7;;
Train12;d1 6:24:0;ExitResource;TrackGroup1;B9;;
Train12;d1 6:24:0;EnterResource;TrackGroup3;A1;;
Train12;d1 6:24:0;ExitResource;TrackGroup3;B1;;
Train12;d1 6:24:0;EnterResource;TrackGroup6;A1;;
Train12;d1 6:24:0;ExitResource;TrackGroup6;B1;;
Train12;d1 6:24:0;EnterResource;TrackGroup7;A3;;
Train12;d1 6:24:0;ExitResource;TrackGroup7;B7;;
Train12;d1 6:24:0;ExitSystem;TrackGroup7;;;
Train13;d1 7:25:0;EnterSystem;TrackGroup10;;;
Train13;d1 7:25:0;EnterResource;TrackGroup10;B1;;
Train13;d1 7:25:0;ExitResource;TrackGroup10;A3;;
Train13;d1 7:25:0;EnterResource;TrackGroup8;B1;;
Train13;d1 7:25:0;ExitResource;TrackGroup8;A1;;
Train13;d1 7:25:0;EnterResource;TrackGroup3;B1;;
Train13;d1 7:25:0;ExitResource;TrackGroup3;A1;;
Train13;d1 7:25:0;EnterResource;TrackGroup1;A7;;
Train13;d1 7:25:0;ExitResource;TrackGroup1;A7;;
Train13;d1 7:25:0;EnterResource;Platform7;B1;;
Train13;d1 7:25:0;Arrival;Platform7;;Arrival13;
Train13;d1 7:25:0;ExitResource;Platform7;B1;;
Train13;d1 6:24:0;EnterResource;Platform7;B1;;
Train13;d1 6:24:0;Departure;Platform7;;Dep13;
Train13;d1 6:24:0;ExitResource;Platform7;B1;;
Train13;d1 6:24:0;EnterResource;TrackGroup1;A7;;
Train13;d1 6:24:0;ExitResource;TrackGroup1;B9;;
Train13;d1 6:24:0;EnterResource;TrackGroup3;A1;;
Train13;d1 6:24:0;ExitResource;TrackGroup3;B1;;
Train13;d1 6:24:0;EnterResource;TrackGroup6;A1;;
Train13;d1 6:24:0;ExitResource;TrackGroup6;B1;;
Train13;d1 6:24:0;EnterResource;TrackGroup7;A3;;
Train13;d1 6:24:0;ExitResource;TrackGroup7;B7;;
Train13;d1 6:24:0;ExitSystem;TrackGroup7;;;
Train14;d1 7:25:0;EnterSystem;TrackGroup10;;;
Train14;d1 7:25:0;EnterResource;TrackGroup10;B1;;
Train14;d1 7:25:0;ExitResource;TrackGroup10;A3;;
Train14;d1 7:25:0;EnterResource;TrackGroup8;B1;;
Train14;d1 7:25:0;ExitResource;TrackGroup8;A1;;
Train14;d1 7:25:0;EnterResource;TrackGroup3;B1;;
Train14;d1 7:25:0;ExitResource;TrackGroup3;A1;;
Train14;d1 7:25:0;EnterResource;TrackGroup1;A7;;
Train14;d1 7:25:0;ExitResource;TrackGroup1;A7;;
Train14;d1 7:25:0;EnterResource;Platform7;B1;;
Train14;d1 7:25:0;Arrival;Platform7;;Arrival14;
Train14;d1 7:25:0;ExitResource;Platform7;B1;;
Train14;d1 6:32:0;EnterResource;Platform7;B1;;
Train14;d1 6:32:0;Departure;Platform7;;Dep14;
Train14;d1 6:32:0;ExitResource;Platform7;B1;;
Train14;d1 6:32:0;EnterResource;TrackGroup1;A7;;
Train14;d1 6:32:0;ExitResource;TrackGroup1;B9;;
Train14;d1 6:32:0;EnterResource;TrackGroup3;A1;;
Train14;d1 6:32:0;ExitResource;TrackGroup3;B1;;
Train14;d1 6:32:0;EnterResource;TrackGroup6;A1;;
Train14;d1 6:32:0;ExitResource;TrackGroup6;B1;;
Train14;d1 6:32:0;EnterResource;TrackGroup7;A3;;
Train14;d1 6:32:0;ExitResource;TrackGroup7;B7;;
Train14;d1 6:32:0;ExitSystem;TrackGroup7;;;
Train15;d1 7:28:0;EnterSystem;TrackGroup7;;;
Train15;d1 7:28:0;EnterResource;TrackGroup7;B1;;
Train15;d1 7:28:0;ExitResource;TrackGroup7;A3;;
Train15;d1 7:28:0;EnterResource;TrackGroup6;B1;;
Train15;d1 7:28:0;ExitResource;TrackGroup6;A1;;
Train15;d1 7:28:0;EnterResource;TrackGroup3;B1;;
Train15;d1 7:28:0;ExitResource;TrackGroup3;A1;;
Train15;d1 7:28:0;EnterResource;TrackGroup1;B9;;
Train15;d1 7:28:0;ExitResource;TrackGroup1;A7;;
Train15;d1 7:28:0;EnterResource;Platform7;B1;;
Train15;d1 7:28:0;Arrival;Platform7;;Arrival15;
Train15;d1 7:28:0;ExitResource;Platform7;B1;;
Train15;d1 6:35:0;EnterResource;Platform7;B1;;
Train15;d1 6:35:0;Departure;Platform7;;Dep15;
Train15;d1 6:35:0;ExitResource;Platform7;B1;;
Train15;d1 6:35:0;EnterResource;TrackGroup1;A7;;
Train15;d1 6:35:0;ExitResource;TrackGroup1;B9;;
Train15;d1 6:35:0;EnterResource;TrackGroup3;A1;;
Train15;d1 6:35:0;ExitResource;TrackGroup3;B1;;
Train15;d1 6:35:0;EnterResource;TrackGroup6;A1;;
Train15;d1 6:35:0;ExitResource;TrackGroup6;B1;;
Train15;d1 6:35:0;EnterResource;TrackGroup7;A3;;
Train15;d1 6:35:0;ExitResource;TrackGroup7;B7;;
Train15;d1 6:35:0;ExitSystem;TrackGroup7;;;
Train16;d1 7:32:0;EnterSystem;TrackGroup7;;;
Train16;d1 7:32:0;EnterResource;TrackGroup7;B1;;
Train16;d1 7:32:0;ExitResource;TrackGroup7;A3;;
Train16;d1 7:32:0;EnterResource;TrackGroup6;B1;;
Train16;d1 7:32:0;ExitResource;TrackGroup6;A1;;
Train16;d1 7:32:0;EnterResource;TrackGroup3;B1;;
Train16;d1 7:32:0;ExitResource;TrackGroup3;A1;;
Train16;d1 7:32:0;EnterResource;TrackGroup1;B9;;
Train16;d1 7:32:0;ExitResource;TrackGroup1;A7;;
Train16;d1 7:32:0;EnterResource;Platform7;B1;;
Train16;d1 7:32:0;Arrival;Platform7;;Arrival16;
Train16;d1 7:32:0;ExitResource;Platform7;B1;;
Train16;d1 6:35:0;EnterResource;Platform7;B1;;
Train16;d1 6:35:0;Departure;Platform7;;Dep16;
Train16;d1 6:35:0;ExitResource;Platform7;B1;;
Train16;d1 6:35:0;EnterResource;TrackGroup1;A1;;
Train16;d1 6:35:0;ExitResource;TrackGroup1;B9;;
Train16;d1 6:35:0;EnterResource;TrackGroup3;A1;;
Train16;d1 6:35:0;ExitResource;TrackGroup3;B5;;
Train16;d1 6:35:0;EnterResource;TrackGroup8;A1;;
Train16;d1 6:35:0;ExitResource;TrackGroup8;B3;;
Train16;d1 6:35:0;EnterResource;TrackGroup10;A1;;
Train16;d1 6:35:0;ExitResource;TrackGroup10;B1;;
Train16;d1 6:35:0;ExitSystem;TrackGroup10;;;
Train17;d1 7:35:0;EnterSystem;TrackGroup7;;;
Train17;d1 7:35:0;EnterResource;TrackGroup7;B1;;
Train17;d1 7:35:0;ExitResource;TrackGroup7;A3;;
Train17;d1 7:35:0;EnterResource;TrackGroup6;B1;;
Train17;d1 7:35:0;ExitResource;TrackGroup6;A1;;
Train17;d1 7:35:0;EnterResource;TrackGroup3;B1;;
Train17;d1 7:35:0;ExitResource;TrackGroup3;A1;;
Train17;d1 7:35:0;EnterResource;TrackGroup1;B9;;
Train17;d1 7:35:0;ExitResource;TrackGroup1;A7;;
Train17;d1 7:35:0;EnterResource;Platform7;B1;;
Train17;d1 7:35:0;Arrival;Platform7;;Arrival17;
Train17;d1 7:35:0;ExitResource;Platform7;B1;;
Train17;d1 9:5:0;EnterResource;Platform7;B1;;
Train17;d1 9:5:0;Departure;Platform7;;Dep43;
Train17;d1 9:5:0;ExitResource;Platform7;B1;;
Train17;d1 9:5:0;EnterResource;TrackGroup1;A7;;
Train17;d1 9:5:0;ExitResource;TrackGroup1;B9;;
Train17;d1 9:5:0;EnterResource;TrackGroup3;A1;;
Train17;d1 9:5:0;ExitResource;TrackGroup3;B1;;
Train17;d1 9:5:0;EnterResource;TrackGroup6;A1;;
Train17;d1 9:5:0;ExitResource;TrackGroup6;B1;;
Train17;d1 9:5:0;EnterResource;TrackGroup7;A3;;
Train17;d1 9:5:0;ExitResource;TrackGroup7;B7;;
Train17;d1 9:5:0;ExitSystem;TrackGroup7;;;
Train18;d1 7:39:0;EnterSystem;TrackGroup7;;;
Train18;d1 7:39:0;EnterResource;TrackGroup7;B1;;
Train18;d1 7:39:0;ExitResource;TrackGroup7;A3;;
Train18;d1 7:39:0;EnterResource;TrackGroup6;B1;;
Train18;d1 7:39:0;ExitResource;TrackGroup6;A1;;
Train18;d1 7:39:0;EnterResource;TrackGroup3;B1;;
Train18;d1 7:39:0;ExitResource;TrackGroup3;A1;;
Train18;d1 7:39:0;EnterResource;TrackGroup1;B9;;
Train18;d1 7:39:0;ExitResource;TrackGroup1;A7;;
Train18;d1 7:39:0;EnterResource;Platform7;B1;;
Train18;d1 7:39:0;Arrival;Platform7;;Arrival18;
Train18;d1 7:39:0;ExitResource;Platform7;B1;;
Train18;d1 17:30:0;EnterResource;Platform7;B1;;
Train18;d1 17:30:0;Departure;Platform7;;Dep129;
Train18;d1 17:30:0;ExitResource;Platform7;B1;;
Train18;d1 17:30:0;EnterResource;TrackGroup1;A7;;
Train18;d1 17:30:0;ExitResource;TrackGroup1;B9;;
Train18;d1 17:30:0;EnterResource;TrackGroup3;A1;;
Train18;d1 17:30:0;ExitResource;TrackGroup3;B1;;
Train18;d1 17:30:0;EnterResource;TrackGroup6;A1;;
Train18;d1 17:30:0;ExitResource;TrackGroup6;B1;;
Train18;d1 17:30:0;EnterResource;TrackGroup7;A3;;
Train18;d1 17:30:0;ExitResource;TrackGroup7;B7;;
Train18;d1 17:30:0;ExitSystem;TrackGroup7;;;
Train19;d1 7:43:0;EnterSystem;TrackGroup7;;;
Train19;d1 7:43:0;EnterResource;TrackGroup7;B1;;
Train19;d1 7:43:0;ExitResource;TrackGroup7;A3;;
Train19;d1 7:43:0;EnterResource;TrackGroup6;B1;;
Train19;d1 7:43:0;ExitResource;TrackGroup6;A1;;
Train19;d1 7:43:0;EnterResource;TrackGroup3;B1;;
Train19;d1 7:43:0;ExitResource;TrackGroup3;A1;;
Train19;d1 7:43:0;EnterResource;TrackGroup1;B9;;
Train19;d1 7:43:0;ExitResource;TrackGroup1;A7;;
Train19;d1 7:43:0;EnterResource;Platform7;B1;;
Train19;d1 7:43:0;Arrival;Platform7;;Arrival19;
Train19;d1 7:43:0;ExitResource;Platform7;B1;;
Train19;d1 8:25:0;EnterResource;Platform7;B1;;
Train19;d1 8:25:0;Departure;Platform7;;Dep35;
